LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
201,3614,100000,22,14,6,17.5,10.2,4.7,13.6,43148
202,2000,136807,7,7,2,5.2,4.7,1.6,14.8,45591
202,2001,139837,8,6,1,6.3,6,1,13.1,49225
202,2002,140686,4,6,1,4,5.4,0.4,21.5,42984
202,2019,100008,25,18,8,23.1,15.9,8,18.1,42507
202,2036,100009,29,23,3,27.9,19.5,3,16.3,43168
202,2065,100010,25,15,7,24.4,12.3,6.6,16.6,42396
202,2078,100011,24,21,13,22.4,16.2,8.9,20.3,40168
202,2095,100012,20,26,7,18.1,16.4,6.1,20.5,46942
202,2184,100013,11,14,5,10.3,9.2,3.5,21.5,43779
202,2219,100014,17,18,3,13.3,13.9,3,16.9,45892
202,2290,100015,6,9,5,5.1,5,4.6,21.8,48315
202,2436,100018,28,29,8,26.9,21.8,7.1,16.5,43636
202,2438,100019,27,26,7,24.4,17.4,6.6,18.1,45823
202,2475,100020,26,34,10,21.9,29.5,8.4,22,42821
202,2502,100021,28,32,12,26.5,24.1,9.5,16.3,42624
202,2507,100022,30,20,12,28.8,16.6,12,15.6,45164
202,2603,100023,22,26,8,21.5,20,6.9,21,41553
202,2775,100025,23,30,13,21,21.1,10.2,22.4,47142
202,2797,100026,13,17,3,11.9,14.2,3,19.5,44857
202,2841,100027,16,17,5,12.7,12.9,3.1,18.7,44752
202,2842,130342,13,20,6,11.3,14.2,4.5,20.6,44747
202,2843,132245,32,15,8,30.1,14,8,19.7,41530
202,3323,100028,13,4,3,11.7,3.4,2.3,15.5,38984
202,3327,100029,15,15,4,14,12.4,3.3,16.4,41821
202,3340,100030,13,10,6,12.5,8.8,5.1,19.1,40896
202,3352,100031,8,8,3,7.6,6.9,3,30.1,38401
202,3359,100032,10,12,3,8.8,8.9,3,21.1,40564
202,3361,100033,12,12,2,10.2,7.9,1.8,20.3,40406
202,3370,100034,21,29,3,17.7,19.5,2.9,13.3,44837
202,3391,100035,21,18,5,18,12,4.2,18.8,45409
202,3398,100036,14,15,4,13.1,11.1,2.8,16.8,45343
202,3400,100037,14,14,2,12.4,12.7,2,18.4,46561
202,3401,100038,11,15,4,9.2,11.8,2.9,21.9,43290
202,3429,100039,15,14,8,14.5,11.4,7.4,20.6,39790
202,3441,100040,15,13,3,12.9,11.2,3,16.5,36971
202,3482,100041,13,10,4,12.3,9.1,4,18.9,44093
202,3517,100042,10,9,5,9.4,8.3,4.7,23.7,43545
202,3521,100043,11,14,4,10.8,12.8,4,21.2,45108
202,3546,100044,10,11,2,9.2,9.4,2,24,43714
202,3560,100045,13,13,5,11.1,11.2,4,20.1,46663
202,3568,100046,14,11,2,11,8.8,2,19.2,43605
202,3649,100047,13,8,4,12.4,7.9,3.1,16.9,49965
202,3655,100048,10,6,4,10,5.8,4,19.8,49930
203,2018,100111,21,26,8,21,19.2,5.3,20.6,38933
203,2024,100112,18,23,20,16.4,17.8,16.7,13.8,39241
203,2028,100113,47,41,12,43,26.7,10.1,17.8,39777
203,2071,100114,19,23,9,18.3,17.1,7.1,21.1,45355
203,2106,100115,15,24,4,12.7,15.9,3.1,17.7,38395
203,2174,100120,24,35,9,23,19.3,7.1,17.8,36777
203,2228,100125,17,15,8,16.4,7,7.5,25.5,42647
203,2242,100126,25,27,4,23.4,19.2,4,18.2,39375
203,2258,100127,21,31,5,18.2,17.4,4.9,24.1,41753
203,2266,100128,19,27,29,17.6,18.3,25.1,15.2,41025
203,2271,100129,18,15,4,17.2,14,3.9,17.7,39581
203,2275,100130,18,24,12,15.7,15,7.7,23.9,35538
203,2299,100131,22,27,8,20.1,18.4,5.9,19.3,38193
203,2313,100132,22,22,8,20.1,13.7,5.6,19.4,36819
203,2325,100134,20,21,11,18.2,13.4,7.8,22.9,35483
203,2353,100136,24,23,11,24,13.5,9.8,17,38273
203,2410,100137,19,14,11,15.9,10.9,5.3,14.2,43983
203,2471,100140,43,42,21,38.1,32.3,11.9,18.7,44074
203,2552,100141,21,23,6,20.3,16.8,5.1,22.5,36498
203,2598,100142,15,15,5,11.8,9.3,4.9,19.6,39500
203,2656,100145,33,25,10,32.5,17.9,8,16.7,39179
203,2662,100146,21,31,4,15.8,20.7,3.3,27.3,45286
203,2790,100148,14,8,5,11.4,7.1,4,19.7,36691
203,2798,100149,19,25,4,17.3,16.5,2.2,25.2,41129
203,2801,100150,28,22,8,26.7,14.4,7.2,16.1,43193
203,2804,100151,13,20,7,11.7,11.2,5.7,19,44943
203,2813,100152,29,32,9,26.2,28,8.2,21.4,45650
203,2851,100154,13,14,6,12.2,8.4,4.9,19.1,45133
203,2877,100155,27,28,10,22.5,20.6,9.5,20.5,48195
203,2885,100156,36,44,12,34.3,35.3,9.4,19.1,44455
203,2890,100157,8,9,5,7.5,6.2,4,SUPP,55867
203,2900,100158,44,41,17,43.8,28.9,12.4,19,39113
203,2901,100159,29,32,7,26.1,26,6.6,17.1,39184
203,2902,100160,15,10,7,13.2,7.1,5.8,17.3,39272
203,2915,100162,16,16,4,12.1,7.6,3.9,18.4,41396
203,2916,100163,25,35,27,23.9,21.1,23.4,19.6,39910
203,2917,100164,19,25,10,18.2,18.1,9,24.6,38547
203,2918,130921,21,33,6,20.2,21.6,5.1,21.1,42938
203,2919,130922,21,25,7,18.8,16.3,6.7,22.3,39175
203,2920,131183,39,29,10,35.5,23.3,9.4,18.4,39868
203,2921,131246,37,45,5,31.1,31.7,4.1,19.2,40106
203,2922,131841,33,42,8,30.6,29,5.9,19.5,42108
203,2923,132837,26,25,11,23.4,13.7,8.2,18.7,45636
203,2924,132800,24,26,9,23.3,17.1,7.4,19.7,36616
203,2925,132827,36,21,22,34.8,16.9,15.5,14.6,35600
203,3322,100165,14,16,6,13.3,12.3,3,14.8,40992
203,3331,100166,11,13,4,9.6,8.1,3,21.9,41013
203,3338,100167,18,16,5,16.4,11.2,3.2,19.2,40416
203,3382,100168,11,9,5,9.8,7.1,3,21.7,45189
203,3481,100169,13,16,4,12.2,11.9,3.7,17,43084
203,3500,100170,14,18,5,11.8,11.2,4.1,22,41466
203,3526,100171,35,39,11,34.4,28.4,7.6,14.6,41861
203,3535,100172,24,18,6,18.6,11.8,4.4,23.8,38596
203,3561,100173,19,12,4,16.6,10.1,3.2,20.3,37276
203,3577,100174,11,9,6,10.6,6.7,5.8,21.5,45728
203,3585,100175,10,11,4,8.4,9,3.3,25,40994
203,3604,100176,11,10,5,10.1,7,3.9,20.4,43603
203,3632,100177,19,29,7,17.2,19.2,6.8,19.2,39938
203,3657,100178,12,10,10,11.4,8,6.2,18.6,42454
203,3662,100179,12,10,5,10.1,7.7,3.7,20.2,38239
203,3666,100180,13,15,4,13,10.8,3.7,17,43431
203,3668,100181,8,10,5,8,7.8,4.8,26.7,38625
203,3670,131109,31,41,18,28.4,37.3,17.3,21.2,41900
203,5200,100197,35,42,9,31.9,26.4,7.5,20.2,45043
204,2000,138241,12,6,2,7.7,2.9,1.5,16.3,32040
204,2001,139814,21,19,7,19.5,15.5,7,18.4,35494
204,2002,140426,2,NA,1,2,NA,1,13,SUPP
204,2003,141750,4,1,2,3.4,0.4,1.6,9.1,49292
204,2004,142112,4,3,1,4,2.6,1,12.5,43223
204,2048,100218,27,29,12,26.4,23.2,11.5,17.3,42422
204,2120,100221,15,12,5,15,8,4.7,15.2,38002
204,2150,100223,32,25,23,31.5,22.3,16.4,19.4,38455
204,2155,100224,23,27,16,20.2,22.6,8.3,18.3,39321
204,2238,100225,29,39,9,28.6,32.4,8.8,18.1,38598
204,2376,100229,24,27,10,23.1,20.8,8.8,19.4,41559
204,2388,100230,34,23,5,32.1,17.2,3.3,13.6,36936
204,2421,100231,33,44,14,31.6,37.6,11.8,20.5,42891
204,2431,100232,22,21,11,21.6,18.7,9.1,20.1,38066
204,2444,141576,25,15,9,24.2,10,7.5,18.8,40395
204,2450,100234,30,26,17,29.6,23.5,16.9,17.8,38165
204,2487,100235,30,32,11,28.6,28.4,6.5,16.6,38342
204,2489,100236,28,25,7,27.3,23.2,6.9,15.5,37114
204,2532,100239,22,24,10,21.6,16.1,8.4,19.5,40241
204,2533,130302,25,27,7,25,19.9,6.4,18.5,40601
204,2534,130303,34,32,13,33.2,25,10.3,17.1,40305
204,2539,100240,27,31,10,25,23.5,6.9,17,44284
204,2545,100241,23,21,11,22.6,15.3,10.7,19.7,36556
204,2564,100242,24,22,9,24,20,7.9,17.6,37612
204,2592,100243,22,31,17,21.8,29.1,9.2,19.4,38160
204,2615,100244,24,31,13,23.1,25,11.5,18.7,40902
204,2636,100245,30,23,11,29.1,18.1,8.8,13.7,36972
204,2654,100248,29,24,14,29,19.6,9.6,18.9,37206
204,2779,100250,22,19,6,19.7,13.3,4.7,11.7,47472
204,2795,100251,27,23,9,24.6,18.7,8.2,17.1,40651
204,2856,100252,15,13,7,12.3,8.1,3.5,18.7,46129
204,2859,100253,32,28,16,29.9,17.1,10.8,15.3,37372
204,2860,100254,21,5,6,19.1,3.8,5.3,12,39173
204,2861,100255,12,13,8,12,11,5.5,17.7,40619
204,2862,100256,24,20,17,22.7,17.4,16.2,16.9,38212
204,2863,100257,14,20,5,11.8,12.3,3.3,19.1,47133
204,2864,100258,26,13,12,24.8,10.3,10.3,18.9,42761
204,2865,100259,16,13,5,14.5,10.5,3.3,15.8,34596
204,2872,100260,25,25,10,23.3,15.8,8.6,17.9,43125
204,2896,100261,22,21,5,21,16.6,4.9,18.4,36739
204,2897,130932,28,26,7,24.2,16.7,5.2,18.3,43525
204,2898,131141,21,14,4,20.4,12.9,4,14.6,38321
204,2899,131706,24,21,7,21.7,14.6,5.2,20,36860
204,2900,133669,22,22,6,21.6,18.4,6,19.3,41882
204,3000,132137,16,20,6,14.6,17.9,4,18.2,42146
204,3358,100263,23,11,8,23,10.2,6.3,8.9,45410
204,3371,100264,14,13,5,13.4,10.5,4.5,17.4,41243
204,3458,100266,24,12,8,21.5,10.8,7.8,15.1,38854
204,3543,100267,18,10,5,17.6,8.1,4.6,16,36614
204,3553,100268,12,12,6,11.4,9.4,5.4,20.3,44186
204,3572,100269,11,7,5,10.5,5.3,4.1,20,41576
204,3616,100270,13,6,5,13,4.8,4.9,16.7,38964
204,3618,100271,16,11,3,15.2,9.4,3,14.8,41871
204,3659,100274,16,10,7,14.2,8.2,5.2,15.8,40980
204,3663,100275,15,9,6,13.7,4.4,4.9,13.2,45617
204,3664,134639,6,4,4,4.7,2.6,3.3,34.6,47129
204,3665,142255,25,8,5,24.8,7.7,5,17.7,35528
204,3666,121792,16,14,6,16,10,5.2,15.8,35366
205,2000,137331,12,8,3,12,6.5,3,12.6,32463
205,2001,139546,7,1,5,6.8,1,4.6,26.3,36038
205,2002,100321,22,19,10,21.4,12.5,9.5,19.8,37170
205,2003,139820,24,20,4,22,17.8,4,15.9,39897
205,2004,140811,3,2,NA,2.2,2,NA,26.8,SUPP
205,2026,100322,15,13,5,13.5,8.1,4.5,16.9,45002
205,2045,138680,12,19,4,11.8,10.4,3.9,16.8,40222
205,2061,100324,26,22,8,24,16.4,6.6,19.7,42430
205,2134,100326,16,13,10,15.2,8.9,8.7,16.4,46198
205,2223,100328,15,13,6,13.8,12.4,5.5,15.1,42129
205,2286,100329,23,25,8,21.4,17.4,6.5,15.9,40924
205,2309,142256,13,8,4,11.8,6.7,3.9,18.3,47078
205,2350,100331,13,11,3,11,8,3,21.4,43863
205,2367,100332,11,10,5,10.8,8.9,4.9,NA,44367
205,2383,140634,16,10,5,14.4,7.4,4.8,12.8,47009
205,2408,100334,26,41,16,23.3,21.2,11.1,17.6,41837
205,2444,100335,23,20,8,22,12,8,16.8,42833
205,2484,100337,15,12,6,14.2,8,5.4,15.2,43199
205,2555,100338,28,18,14,27.2,11.2,12.6,13.6,42341
205,2577,100339,18,19,6,16.3,15,5.4,19.2,40832
205,2632,100340,29,16,11,27.7,11.2,8.8,15.7,38391
205,2660,100341,27,15,11,26.4,12.3,10.7,17.3,40946
205,2913,141902,14,9,8,12.2,6.5,6.5,18.4,39880
205,3300,100344,12,8,7,10.9,4.7,5.4,21.2,43660
205,3354,100345,30,26,5,29,20.2,5,17.2,38183
205,3368,100346,13,16,5,12.2,10,3.8,19.4,43803
205,3378,100347,11,7,4,10.2,5,3.5,20.6,43256
205,3463,100349,28,14,6,27,8.2,4.9,13.9,36957
205,3529,100350,13,9,6,11.4,6.3,4.9,20,41265
205,3566,100351,15,17,5,13.2,13.1,3.4,16.6,37524
205,3578,100352,9,11,6,8.2,7.1,5.3,25.1,40162
205,3600,100353,14,14,6,13.4,9.3,5.9,25.8,44603
205,3602,100354,13,6,6,11.8,3.3,5.8,21.4,40626
205,3645,100355,15,17,3,15,14.9,2.1,18.6,38632
205,3648,100357,22,12,7,19.2,7.4,6.2,19.3,40151
205,3649,134009,28,21,8,24.9,12,5.4,17.9,42039
205,3650,134273,19,5,8,18.4,4.6,7.2,10.8,42902
205,5400,137157,128,16,26,94.3,10.3,21.1,14.2,40006
205,6905,131752,105,18,30,104,17.2,26.6,11.2,36994
206,2000,140495,8,3,2,8,3,2,14.3,41503
206,2015,100397,21,11,25,18.7,8.6,22.1,19.1,37931
206,2128,100401,15,8,8,15,8,5.9,15,38414
206,2166,100402,19,17,8,18.9,10.1,6.3,16.6,32867
206,2170,100403,28,16,10,24.4,12.6,8.3,18.9,34624
206,2251,100405,17,12,6,15.8,8.7,4.2,14.9,42521
206,2261,100406,32,41,19,30,25.5,11.1,16.5,41761
206,2279,100407,20,14,7,18.1,9.7,5.4,18.4,43281
206,2282,100408,13,12,18,13,11.4,15.6,22.2,38034
206,2379,100411,33,37,6,32,28.8,4.9,13.4,41475
206,2429,100415,12,7,7,11.1,5.8,6.9,21.2,48687
206,2455,100418,21,18,18,19.2,12.5,12,17.5,42669
206,2515,100422,19,14,25,16.2,10.9,19.5,15.4,43059
206,2596,100425,25,27,4,25,21.8,3.2,17.6,35967
206,2624,100426,17,14,9,16.6,8.4,7.4,13.5,40199
206,2643,137566,23,15,6,21.4,12.8,3.6,21,45794
206,2646,100428,12,9,10,11.3,7.2,10,21.2,43915
206,2666,100429,30,23,7,24.3,14.6,5.6,19,33292
206,2803,100430,18,12,5,15.8,9.4,4.1,20.9,34776
206,2805,100431,19,15,13,19,12.8,11,20.9,32524
206,2809,100432,25,19,5,21.7,15.5,4.2,19,38924
206,2850,100434,26,20,37,23.3,11.8,32.3,20.7,31365
206,2851,100435,24,48,30,23.4,25.3,24.3,19.5,44648
206,2852,131218,24,22,11,22.4,17.1,8,20,42039
206,2853,131325,23,23,9,22.5,19.4,8.3,18.4,34530
206,2854,131773,23,18,7,21.4,13.7,5.9,21,40711
206,2855,131842,28,21,11,26.3,11.6,9.7,16.5,30819
206,2856,131741,24,17,7,22.6,12.3,6.9,15.2,35173
206,2857,131740,20,16,8,20,10.7,7.3,20.5,36448
206,3334,100436,12,7,5,11.2,5.5,4.7,20.2,35859
206,3384,100437,24,22,9,23,16.6,7.2,19.1,41498
206,3456,100438,17,13,5,16.2,8.4,4.4,18.6,39107
206,3465,100439,12,13,21,12,9.2,5.5,18,37044
206,3471,100440,9,9,2,8.4,6.7,2,24.6,35609
206,3483,100441,26,13,5,25,12.2,4.4,17.8,32025
206,3488,100442,12,9,5,11,6.9,3.9,17.8,44794
206,3495,100443,14,9,5,12.3,7.1,4.4,19.2,47917
206,3501,100444,11,9,3,9.8,8,3,22.6,39189
206,3527,100446,12,12,3,11.2,6.9,3,16.5,35114
206,3575,100447,13,6,4,12.2,3.6,3.3,18.5,46461
206,3606,100448,11,7,7,10.6,6.6,4.4,19.1,40499
206,3631,100449,23,14,7,21.1,10.6,5.1,20.8,39328
206,3633,100450,22,22,6,21.2,16.2,5.2,17.6,36358
206,3643,100451,14,15,6,12.1,7.6,4.2,18.4,43218
206,3644,137393,8,11,8,6.2,8.6,6.7,SUPP,44064
206,6905,134314,112,28,48,107.6,19.6,43.2,11,40994
207,2000,139645,23,13,3,22.6,9.9,2.8,13.7,40390
207,2021,100477,17,14,2,17,13.3,2,12.3,35930
207,2030,100478,25,28,6,23.6,22.3,5.5,15.2,39104
207,2050,100479,19,24,7,18.6,20.8,5.5,17.5,40791
207,2060,100480,28,23,7,25.2,14.4,5.3,17.4,40444
207,2121,100481,27,19,11,25.8,14.5,9.8,14.5,35961
207,2229,100482,36,23,5,34.2,20.6,5,9.6,37220
207,2399,100483,19,23,6,18,18.1,5.9,18.3,41047
207,2452,100485,27,22,10,25.9,16.4,9.5,16.1,40151
207,2456,100486,13,12,6,12.6,11.4,5.8,17.4,40971
207,2538,100487,28,23,8,26,18.7,7.1,14.3,42741
207,2594,100488,15,11,4,13.5,7.5,3.3,17.4,43143
207,3321,100489,13,18,3,11.2,13.9,2.7,18.6,42402
207,3356,100490,12,11,8,11.2,6.6,5.9,19,47637
207,3379,100491,14,13,2,11.5,8.7,1.8,18.3,41924
207,3402,100492,14,17,4,13.9,12.8,3,16.8,48160
207,3417,100493,18,13,2,18,8.7,2,11.6,37813
207,3437,100494,21,15,4,19.6,10.6,3.6,15.1,42636
207,3455,100495,13,17,6,11.9,12.4,4.4,19.3,40984
207,3477,100496,12,6,4,11.6,5.6,3.4,18.2,42371
207,3504,100497,14,8,3,13.2,4.8,3,15.2,41993
207,3541,100498,14,16,7,12.8,12.7,6,16.6,37014
207,3542,100499,25,21,5,23.1,17.1,3.8,15.8,43488
207,3613,100500,15,15,6,15,9.7,5.8,15.6,49720
207,5200,100504,17,9,10,13.4,6.4,6.8,17.1,39636
207,5201,100505,23,22,7,20.6,9.7,5.9,15.6,42471
208,2022,100556,16,11,8,13.8,7.4,6.9,15.6,48077
208,2115,100560,30,21,11,26.2,15.1,9.1,16.6,42836
208,2265,100564,35,19,7,33.1,14.1,6.6,15.5,44402
208,2292,100566,26,8,15,22.8,7.2,13,14.8,40789
208,2295,100567,51,38,24,44.9,30.7,17.4,18.1,39745
208,2331,100572,23,24,13,21.6,23.4,13,20,36106
208,2332,137430,16,15,5,14,9.9,3.8,17.2,44654
208,2359,100574,48,81,22,46.5,69.2,21.6,18.5,45652
208,2371,100576,42,18,12,40.8,14.8,9.5,10.2,42381
208,2459,100577,15,17,2,14.2,15.3,2,18.1,47333
208,2504,100578,26,20,8,24.5,13.3,8,16.2,41354
208,2575,100584,23,15,8,20.7,13.3,6.7,16.3,42957
208,2578,100585,38,23,17,33.8,17.2,14.9,17.2,44460
208,2591,100586,21,18,10,19.7,14.1,9.3,18.7,40635
208,2617,100588,17,21,10,14.2,15.9,8.2,16.6,51747
208,2626,100589,15,17,3,14,14.2,2.6,18.8,41843
208,2657,100590,30,22,11,28.6,21.6,10.4,19.3,39770
208,2664,100591,39,53,20,34,43.7,18.4,15.5,45144
208,2783,100593,33,47,9,32.6,41.3,8.4,14.1,41286
208,2785,100595,29,41,9,28.5,34.7,8.8,21.6,39110
208,2794,100597,21,33,3,21,28.1,3,17.7,41327
208,2808,100598,22,20,11,22,17.6,10.8,19.6,41138
208,2836,100601,32,32,17,30.9,24.5,10.4,11.9,39761
208,2868,100604,17,7,5,15.1,5.5,5,13.6,41170
208,2895,100608,13,17,5,11.6,10.5,4.2,20.2,43432
208,2897,131247,26,18,7,25.6,15.9,6.4,15.2,39497
208,2898,131340,29,13,5,28.3,11.3,5,16.4,40230
208,2899,131335,44,41,5,42.4,35.9,4.5,16.1,40710
208,2900,131824,45,42,33,38.1,32.7,21.7,17.2,40099
208,2901,131874,28,10,6,27.1,8.5,5.9,13.1,36901
208,2902,100582,32,33,18,31.4,31.7,16.8,19,41682
208,2903,133315,25,27,9,24,23.7,8.4,17.3,46620
208,2905,133584,32,26,9,30.1,20.9,8.6,16.3,45503
208,3000,133662,31,16,16,29,14.8,14.3,14.8,40845
208,3307,100609,17,20,5,16.2,18.5,4.4,19.8,43063
208,3324,100610,11,18,3,10.5,17.6,2.7,18.7,41809
208,3329,100611,11,9,5,10,7.2,3.7,19.4,44192
208,3375,100612,13,11,4,12.2,7.5,3.3,17.5,42616
208,3403,100613,17,11,4,16.7,9.5,3,12.3,35429
208,3457,100614,16,11,3,13.4,9.7,2.6,15.5,49904
208,3466,100615,16,16,6,13.2,15.1,5,17.5,40949
208,3491,100616,11,6,3,9.5,4.6,3,21.3,40515
208,3493,100617,14,13,3,11.8,7.6,3,17.1,41565
208,3499,100618,12,10,3,10.6,9.5,2.6,18.1,43943
208,3502,100619,11,11,4,10.7,7.5,3.4,17.1,40721
208,3589,100620,12,15,8,9.5,11.4,4.3,20.2,38439
208,3596,100621,12,14,3,11.6,12.7,3,19.4,44363
208,3621,100622,18,26,4,18,23.2,3.6,21.2,38635
208,3641,100623,17,17,4,16.6,12.4,3.1,16.3,39843
208,3642,134507,10,12,4,9.5,9.9,4,18.1,40530
208,3643,135614,12,9,2,11.4,8.3,1.7,19.1,41151
208,5200,100628,14,17,5,12.7,10.9,4.4,18.8,43358
208,5201,100629,22,44,5,20,15.3,5,20.8,43594
208,5202,137295,23,25,8,20.2,17.1,4.8,20.7,48159
208,5203,100631,14,12,4,11.6,10.5,4,19,45196
208,5204,100632,23,22,5,22,20.3,5,21.5,43175
208,5205,100633,17,14,10,17,10.5,8.2,25.4,38977
208,5206,100634,14,16,5,13.6,12.7,4.9,17.5,42443
208,5207,136288,52,27,6,51.8,27,6,20.5,31726
208,5208,100636,23,13,5,20.3,9.2,4.6,16.4,44041
208,5209,100602,38,37,7,38,31.7,6.5,17.5,36284
208,5402,137093,116,27,40,103.9,23.7,36.8,13.6,42913
209,2000,100671,24,22,11,23.7,18.4,11,22.6,35864
209,2001,139672,8,1,1,7.2,1,1,25,42036
209,2023,100672,35,37,8,32.9,25.4,7.3,14.1,41125
209,2029,100673,18,17,7,14.9,8.1,4.9,16.9,46712
209,2068,100674,25,16,9,21.4,10.6,6.2,18.5,45128
209,2108,100675,27,42,10,24.5,29,9.2,17.7,44347
209,2127,100676,34,28,15,30.1,19.6,14.1,19.2,40025
209,2148,100677,30,16,8,26.3,9.8,7,16.4,38917
209,2158,100678,36,57,12,33.8,37.3,10.4,19.1,41691
209,2163,100679,18,27,8,17,13.8,7.2,28.5,45428
209,2187,100680,24,10,7,21.5,6.7,6.1,21.2,40526
209,2197,100681,26,35,7,24.6,21.4,6.9,20.2,38659
209,2225,100683,21,31,5,19,20.8,3.7,27.2,38977
209,2259,100684,33,30,10,31.5,19.9,7.2,19.1,39169
209,2267,100685,16,22,7,12.6,15.4,4.5,21.8,41635
209,2289,100686,22,38,3,20.8,26,2.6,25.7,36116
209,2304,100687,35,27,12,33,25.4,11.5,20,40268
209,2307,100688,28,25,6,22.8,15.6,6,21.3,42802
209,2342,100689,11,16,3,9.9,8.5,1.9,37.2,42828
209,2347,100690,38,52,8,32.2,35.8,6.1,19.9,43947
209,2349,100691,16,20,7,15.6,17.2,6.9,28,41914
209,2374,100692,22,25,6,21.8,17.9,6,21.7,41274
209,2381,100693,25,16,7,23.8,14.2,6.3,19.2,39258
209,2390,100695,22,10,4,21.3,7.8,3.5,20.5,37018
209,2403,100696,29,27,5,24.2,18.9,4.8,17.6,45200
209,2491,100699,29,36,5,26.4,30.8,5,17.8,41258
209,2493,100700,32,27,12,27.7,18.4,8,17.2,36894
209,2529,100701,30,47,11,26,34.2,9.4,23.9,43842
209,2535,100702,19,21,7,17.8,15.2,3.9,20.1,43925
209,2536,100703,16,16,2,13.2,7.7,1.5,23.3,46568
209,2570,100704,15,13,4,14.2,8.5,3.5,23.4,36822
209,2571,100705,13,7,5,12.4,3.4,4.3,23.5,42979
209,2599,137441,32,28,4,29.2,21.2,4,15.2,41162
209,2605,100707,19,27,8,16.7,14.1,4.9,22.3,46471
209,2606,100708,18,14,5,14.5,9.4,3.8,22.8,45682
209,2782,100709,31,24,11,26.3,17.2,9,21.3,43311
209,2811,100710,19,32,6,17.8,20,5.4,28,42292
209,2815,100711,25,20,7,22.6,12.9,5.6,22.8,44411
209,2818,100712,17,14,4,12.6,10.7,3,15.8,46050
209,2869,100713,26,26,8,23.1,16.2,7.4,20.8,44315
209,2870,100714,16,20,10,10.9,9.1,4.6,23.5,41549
209,2871,100715,14,20,4,14,14.6,3.2,16.8,40669
209,2878,100716,14,14,5,12.6,9.6,4.5,21.5,42009
209,2887,100717,14,7,2,10.5,6,2,26,45401
209,2911,100718,27,29,25,26,26.1,18.9,22.3,41025
209,3301,100719,12,8,3,8.9,5.8,2.4,23.7,46225
209,3315,100720,12,15,1,10,8.4,1,19.3,46372
209,3325,100721,13,7,5,12.4,5.3,4.4,19.2,40749
209,3344,100722,8,12,4,8,11.3,2.6,31,46739
209,3360,100723,10,9,5,9,5.7,3.9,20.6,39022
209,3374,100724,12,11,3,10.8,6,2.9,20.6,41302
209,3416,100725,11,15,4,9.2,9.1,2.8,23.5,41281
209,3420,100726,20,27,6,17.1,15.6,5.9,21,38269
209,3454,100727,14,17,6,12.6,11.5,5.4,17.5,35914
209,3472,100728,10,15,6,9.6,6.6,4.1,22,47323
209,3478,100729,11,6,3,11,2.9,3,26.7,41639
209,3518,100730,8,12,8,7.5,7.7,5.1,29.5,50564
209,3548,100731,16,12,7,12.4,7.4,4.4,18.1,49836
209,3588,100732,16,17,7,15,13.3,5.9,21.3,SUPP
209,3594,100733,10,7,4,8.1,4.4,3.5,27.7,43001
209,3597,100734,16,11,4,11.9,9.6,3.6,21.1,43675
209,3612,100735,7,13,2,5.1,6.8,1.5,38.9,49397
209,3650,100737,13,16,4,11,8.8,2,22.5,41376
209,3654,100738,6,8,1,4,4.5,1,43.8,43698
209,3661,100739,16,15,5,12,9.7,4.3,19.5,43872
209,4323,100747,64,9,21,62.5,9,20.9,13.8,39788
209,4636,100749,49,17,16,48.5,16.4,14,15.3,42435
209,5200,100753,19,24,4,18.2,23.5,4,25.9,45698
209,5201,135843,56,17,18,54.8,16.4,17.6,14.9,42162
209,6905,135073,121,30,37,116.2,28.3,34.3,15.2,42935
209,6906,135070,100,23,47,98.5,21.4,42.7,14.1,41665
209,6907,135264,78,39,39,73.6,33.6,34.4,16.4,48007
210,2000,138263,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
210,2001,138270,12,12,4,12,12,4,19,38922
210,2002,139907,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
210,2003,100774,19,16,4,17.9,14.3,3.9,18.2,42906
210,2004,140937,6,5,2,5.8,4.9,1.2,14,39710
210,2005,141666,26,15,10,26,13.3,8.1,14.4,35951
210,2006,142090,4,7,4,3.4,5.5,3.1,26.5,34174
210,2038,100775,11,17,5,11,14.3,4.4,24.4,48126
210,2085,100780,30,35,10,28.2,29.7,9.4,17.9,39851
210,2100,100781,22,18,8,22,14.1,8,17.9,37797
210,2116,100782,22,30,6,22,28.6,5.7,19.9,39620
210,2123,100783,26,15,6,22.5,11.8,5.4,14.8,42794
210,2138,100784,18,15,4,16.1,11.2,2.7,13.1,38960
210,2142,100785,29,38,6,28.3,32.3,5.6,17.6,42356
210,2161,100786,17,30,11,13.3,24.9,9.1,35.4,42039
210,2169,136665,19,18,10,18.4,14.3,8,21.2,37648
210,2257,100790,34,30,13,28.7,21.5,10.2,22.2,44959
210,2263,100791,18,17,8,17.7,11.8,7.4,21.1,42380
210,2293,100793,27,22,8,24.6,20.2,5.9,18.5,43137
210,2308,100794,13,10,3,13,8.6,2.9,19.5,40832
210,2323,100795,22,22,6,22,18,6,18.6,40303
210,2328,100796,28,27,19,26.4,20.3,16.9,18.6,42334
